timepoint,bw_date,ID,species,collection_site,transplant_site,treatment,mortality,bw,bw_sd,bw_se
T1,3/6/2018,SSID 4 18,SSID,OS,OS,OS Native,alive,4.227690289,0.01,0.007071068
T1,3/6/2018,SSID 4 19,SSID,OS,OS,OS Native,alive,9.639133858,0,0
T1,3/9/2018,SSID 4 20,SSID,OS,NS,NS Transplant,alive,12.20778947,0,0
T1,3/9/2018,SSID 4 21,SSID,OS,NS,NS Transplant,alive,16.82560526,0.01,0.007071068
T1,3/9/2018,SSID 4 22,SSID,OS,NS,NS Transplant,alive,14.41197368,2.18E-15,1.54E-15
T1,3/9/2018,SSID 4 23,SSID,OS,NS,NS Transplant,alive,25.26999123,0.005773503,0.004082483
T1,3/9/2018,SSID 4 24,SSID,OS,NS,NS Transplant,alive,22.89459211,6.148986095,4.347989765
T1,3/9/2018,SSID 4 25,SSID,OS,NS,NS Transplant,alive,11.50630702,0.005773503,0.004082483
T1,3/8/2018,SSID 5 1,SSID,NS,NS,NS Native,alive,26.16666667,0.005773503,0.004082483
T1,3/8/2018,SSID 5 2,SSID,NS,NS,NS Native,alive,26.55666667,0.005773503,0.004082483
T1,3/8/2018,SSID 5 3,SSID,NS,NS,NS Native,alive,15.63,0.01,0.007071068
T1,3/8/2018,SSID 5 4,SSID,NS,NS,NS Native,alive,38.29,0,0
T1,3/8/2018,SSID 5 5,SSID,NS,NS,NS Native,alive,21.08333333,0.005773503,0.004082483
T1,3/8/2018,SSID 5 6,SSID,NS,NS,NS Native,alive,17.44666667,0.005773503,0.004082483
T1,3/7/2018,SSID 5 7,SSID,NS,OS,OS Transplant,dead,11.65258772,0.005773503,0.004082483
T1,3/7/2018,SSID 5 8,SSID,NS,OS,OS Transplant,dead,9.471675439,0.005773503,0.004082483
T1,3/7/2018,SSID 5 9,SSID,NS,OS,OS Transplant,alive,27.63707895,4.35E-15,3.08E-15
T1,3/7/2018,SSID 5 10,SSID,NS,OS,OS Transplant,alive,24.97742982,0.005773503,0.004082483
T1,3/7/2018,SSID 5 11,SSID,NS,OS,OS Transplant,alive,9.514894737,0,0
T1,3/7/2018,SSID 5 12,SSID,NS,OS,OS Transplant,alive,14.31888596,0.005773503,0.004082483
T1,3/6/2018,SSID 5 14,SSID,OS,OS,OS Native,alive,8.883333333,0.005773503,0.004082483
T1,3/6/2018,SSID 5 15,SSID,OS,OS,OS Native,alive,6.913333333,0.011547005,0.008164966
T1,3/6/2018,SSID 5 16,SSID,OS,OS,OS Native,alive,7.013333333,0.005773503,0.004082483
T1,3/6/2018,SSID 5 17,SSID,OS,OS,OS Native,alive,8.046666667,0.005773503,0.004082483
T1,3/6/2018,SSID 5 18,SSID,OS,OS,OS Native,alive,10.7,2.18E-15,1.54E-15
T1,3/6/2018,SSID 5 19,SSID,OS,OS,OS Native,alive,7.666666667,0.005773503,0.004082483
T1,3/9/2018,SSID 5 20,SSID,OS,NS,NS Transplant,alive,12.33659947,0.01,0.007071068
T1,3/9/2018,SSID 5 21,SSID,OS,NS,NS Transplant,alive,16.31261174,0.01,0.007071068
T1,3/9/2018,SSID 5 22,SSID,OS,NS,NS Transplant,alive,16.2328922,0,0
T1,3/9/2018,SSID 5 23,SSID,OS,NS,NS Transplant,alive,10.47647677,0.005773503,0.004082483
T1,3/9/2018,SSID 5 24,SSID,OS,NS,NS Transplant,alive,17.35893076,0.01,0.007071068
T1,3/9/2018,SSID 5 25,SSID,OS,NS,NS Transplant,alive,8.503418054,0.005773503,0.004082483
T1,3/8/2018,SSID 6 1,SSID,NS,NS,NS Native,alive,28.03207349,4.35E-15,3.08E-15
T1,3/8/2018,SSID 6 2,SSID,NS,NS,NS Native,alive,26.36420822,0.005773503,0.004082483
T1,3/8/2018,SSID 6 3,SSID,NS,NS,NS Native,alive,38.81848644,0.005773503,0.004082483
T1,3/8/2018,SSID 6 4,SSID,NS,NS,NS Native,alive,19.03289589,0.005773503,0.004082483
T1,3/8/2018,SSID 6 5,SSID,NS,NS,NS Native,alive,16.31059493,0.005773503,0.004082483
T1,3/8/2018,SSID 6 6,SSID,NS,NS,NS Native,alive,25.11745407,0.01,0.007071068
T1,3/7/2018,SSID 6 7,SSID,NS,OS,OS Transplant,alive,25.53524934,0,0
T1,3/7/2018,SSID 6 8,SSID,NS,OS,OS Transplant,alive,17.64687664,0.034641016,0.024494897
T1,3/7/2018,SSID 6 9,SSID,NS,OS,OS Transplant,alive,20.87650044,0.005773503,0.004082483
T1,3/7/2018,SSID 6 10,SSID,NS,OS,OS Transplant,alive,21.68888014,0.005773503,0.004082483
T1,3/7/2018,SSID 6 11,SSID,NS,OS,OS Transplant,alive,15.22963255,0,0
T1,3/7/2018,SSID 6 12,SSID,NS,OS,OS Transplant,alive,12.72286089,0.01,0.007071068
T1,3/6/2018,SSID 6 14,SSID,OS,OS,OS Native,alive,18.84048161,0.040414519,0.02857738
T1,3/6/2018,SSID 6 15,SSID,OS,OS,OS Native,alive,12.59793345,0.005773503,0.004082483
T1,3/6/2018,SSID 6 16,SSID,OS,OS,OS Native,alive,14.22743433,0,0
T1,3/6/2018,SSID 6 17,SSID,OS,OS,OS Native,alive,8.841120841,0,0
T1,3/6/2018,SSID 6 18,SSID,OS,OS,OS Native,alive,9.073432574,0.011547005,0.008164966
T1,3/6/2018,SSID 6 19,SSID,OS,OS,OS Native,alive,14.70533275,2.18E-15,1.54E-15
T1,3/9/2018,SSID 6 20,SSID,OS,NS,NS Transplant,alive,18.86363716,0.01,0.007071068
T1,3/9/2018,SSID 6 21,SSID,OS,NS,NS Transplant,alive,16.43883436,0.005773503,0.004082483
T1,3/9/2018,SSID 6 22,SSID,OS,NS,NS Transplant,alive,13.60546889,0.005773503,0.004082483
T1,3/9/2018,SSID 6 23,SSID,OS,NS,NS Transplant,alive,13.07400526,0,0
T1,3/9/2018,SSID 6 24,SSID,OS,NS,NS Transplant,alive,11.85163891,0.005773503,0.004082483
T1,3/9/2018,SSID 6 25,SSID,OS,NS,NS Transplant,alive,14.5122787,0.005773503,0.004082483
T2,9/24/2018,PSTR 1 2,PSTR,NS,NS,NS Native,alive,40.95518745,0.005773503,0.004082483
T2,9/24/2018,PSTR 1 3,PSTR,NS,NS,NS Native,alive,31.14542284,0.005773503,0.004082483
T2,9/24/2018,PSTR 1 4,PSTR,NS,NS,NS Native,alive,22.91926765,0,0
